name,email,website,city,category,notes,source_url
Editor,,https://peektv.in,Delhi,Video-first news,"100M+ monthly views, ex-NDTV founders; no public email — use LinkedIn",https://www.linkedin.com/company/peek-tv
Faye,info@beatrootnews.com,https://beatrootnews.com,Mumbai,Video-first news,"250-600M views/month, lean team",https://www.linkedin.com/company/beatrootnews
Akash,contact@thedeshbhakt.in,https://thedeshbhakt.in,Noida,Satire-politics video,"6.6M subs, team of 6",https://www.patreon.com/thedeshbhakt/about
Editor,hello@thedailypunch.in,https://thedailypunch.in,India,Business-newsletter,Daily briefings; also ads@thedailypunch.in,https://thedailypunch.in/about.html
Editor,hello@jist.news,https://www.jist.news,Noida,Independent-news,"Ground reports, vox pops",https://www.jist.news/about-us
Editor,hello@thegreylens.com,https://thegreylens.com,India,Tech-sports-news,,https://thegreylens.com/about
Editor,hello@launch91.com,https://launch91.com,India,Startup-news,Startup ecosystem coverage,https://launch91.com/about-us/
Editor,hello@timeofhindustan.in,https://timeofhindustan.in,India,General-news,,https://timeofhindustan.in/about-us-time-of-hindustan/
Editor,hello@batasutra.in,https://batasutra.com,India,Data-first-business,Daily briefs + explainers,https://batasutra.com/about
Editor,hello@balancesheet.cc,https://thebalancesheet.substack.com,India,Startup-finance-analysis,Substack-based,https://thebalancesheet.substack.com/about
Editor,hello@aidispatch.in,https://aidispatch.in,Mumbai,AI-business-intelligence,Daily AI briefing; editorial@aidispatch.in,https://aidispatch.in/about-ai-dispatch/
Editor,info@zerofold.in,https://www.bengalurutribune.com,Bengaluru,City-news,Parent: Zerofold,https://www.bengalurutribune.com/about-us/
Mr. Buch,info@reofacts.com,https://mumbaiwire.com,Mumbai,Politics-policy-news,Founder Maulikk Buch; also tbinindia@gmail.com,https://mumbaiwire.com/about-us/
Editor,info@asiannews.in,https://asiannews.in,New Delhi,General-news,Asian News Media Pvt Ltd,https://asiannews.in/publisher/
Editor,info@dynamitenews.com,https://www.dynamitenews.com,New Delhi,General-news,Karol Bagh HQ,https://www.manojtaakash.com/contact.html
Editor,info@dailytips.in,https://dailytips.in,India,General-media,Also ads@dailytips.in,https://dailytips.in/about-us/
Editor,info@hydigitalmedia.com,https://hydigitalmedia.com,Hyderabad,City-news,Freelance-only newsroom model,https://hydigitalmedia.com/about-us/
Editor,contact@hyderabadstories.com,https://hyderabadstories.com,Hyderabad,City-storytelling,Founders/CEOs focus,https://hyderabadstories.com/contact-us/
Editor,info@maharashtrasatydarpan.live,https://maharashtrasatydarpan.live,Maharashtra,Regional-Marathi-news,,https://maharashtrasatydarpan.live/contact-us/
Editor,info@majhamaharashtranews.live,https://majhamaharashtranews.live,Maharashtra,Regional-Marathi-news,,https://majhamaharashtranews.live/contact-us/
Editor,info@madhyamvruttseva.com,https://www.madhyamvruttseva.com,Latur-Pune,Marathi-news-portal,Also madhyamltr@gmail.com,https://www.madhyamvruttseva.com/contact-us/
Editor,contact@resilienceesports.com,https://resilienceesports.com,Gurugram,Esports-gaming-media,"15,000+ creators network",https://resilienceesports.com/
